CASEID,YEAR,COMPWT,SEX,AGE,RACE,RELIG,RELIG16,DENOM16,PARELIG,PARELKID,MARELIG,MARELKID,SPREL,EDUC,SEI,INCOME,RINCOME,INTRHOME,COMPUSE,WEBMOB,EMAILHR,EMAILMIN,USEWWW,WWWHR,WWWMIN
25051,1990,1.06000000000000005e+00,2,37,1, 1, 1,60,0,0,0,0, 1,20,97.2,12,12,0,0,0, -1,-1,0, -1,-1
25052,1990,5.30000000000000027e-01,1,24,1, 2, 2, 0,0,0,0,0, 0,12,26.6,11,11,0,0,0, -1,-1,0, -1,-1
25053,1990,1.06000000000000005e+00,2,24,1, 2, 2, 0,0,0,0,0, 1,16,53.3,12,11,0,0,0, -1,-1,0, -1,-1
25054,1990,5.30000000000000027e-01,2,57,1, 2, 2, 0,0,0,0,0, 0,16,73.2,12,12,0,0,0, -1,-1,0, -1,-1
25055,1990,1.06000000000000005e+00,1,74,3, 4, 4, 0,0,0,0,0, 4,98,27.5,98, 0,0,0,0, -1,-1,0, -1,-1
25056,1990,1.59000000000000008e+00,1,30,1, 2, 2, 0,0,0,0,0, 0,11,32.3,11, 7,0,0,0, -1,-1,0, -1,-1
25057,1990,1.06000000000000005e+00,2,60,1, 1, 1,22,0,0,0,0, 1,12,37.7,12, 0,0,0,0, -1,-1,0, -1,-1
25058,1990,5.30000000000000027e-01,2,49,1, 1, 1,48,0,0,0,0, 0,12,51.9,12,12,0,0,0, -1,-1,0, -1,-1
25059,1990,5.30000000000000027e-01,2,76,1, 1, 1,60,0,0,0,0, 0,11,29.4,10, 0,0,0,0, -1,-1,0, -1,-1
25060,1990,1.06000000000000005e+00,1,71,1, 4, 5, 0,0,0,0,0, 0, 6,29.4,11, 9,0,0,0, -1,-1,0, -1,-1
25061,1990,1.06000000000000005e+00,2,37,1, 2, 2, 0,0,0,0,0, 2,16,50.7,12,12,0,0,0, -1,-1,0, -1,-1
25062,1990,1.06000000000000005e+00,1,66,1, 2, 2, 0,0,0,0,0, 2,17,66.1,12,12,0,0,0, -1,-1,0, -1,-1
25063,1990,5.30000000000000027e-01,2,72,1, 1, 4, 0,0,0,0,0, 0,14,74.4,10, 0,0,0,0, -1,-1,0, -1,-1
25064,1990,1.06000000000000005e+00,1,35,1, 1, 1,41,0,0,0,0, 2,19,92.3,12,12,0,0,0, -1,-1,0, -1,-1
25065,1990,1.06000000000000005e+00,1,52,1, 3, 3, 0,0,0,0,0, 3,16,82.7,13,13,0,0,0, -1,-1,0, -1,-1
25066,1990,1.06000000000000005e+00,2,63,1, 2, 2, 0,0,0,0,0, 2,13,37.7,13,13,0,0,0, -1,-1,0, -1,-1
25067,1990,5.30000000000000027e-01,2,22,2, 1, 1,11,0,0,0,0, 0,14,38.9, 8, 8,0,0,0, -1,-1,0, -1,-1
25068,1990,3.18999999999999995e+00,1,33,2, 1, 1,10,0,0,0,0, 0,11,27.5,98, 0,0,0,0, -1,-1,0, -1,-1
25069,1990,1.06000000000000005e+00,2,72,1, 1, 1,50,0,0,0,0, 1,12,64.2,12, 0,0,0,0, -1,-1,0, -1,-1
25070,1990,1.06000000000000005e+00,2,58,1, 4, 4, 0,0,0,0,0, 1,18,38.4,12, 0,0,0,0, -1,-1,0, -1,-1
25071,1990,5.30000000000000027e-01,1,43,1, 4, 2, 0,0,0,0,0, 0,14,63.5,12,12,0,0,0, -1,-1,0, -1,-1
