CASEID,YEAR,COMPWT,SEX,AGE,RACE,BORN,PARBORN,GRANBORN,CHILDS,RELIG,DENOM,OTHER,FUND,RELIG16,DENOM16,OTH16,FUND16,PARELIG,PADEN,PAOTH,PAATTEND,PAFUND,PARELKID,PADENKID,MARELIG,MADEN,MAOTH,MAATTEND,MAFUND,MARELKID,MADENKID,SPREL,SPDEN,SPOTHER,SPATTEND,SPFUND,SPREL16,SPDEN16,KDYRBRN1,KDYRBRN2,KDYRBRN3,KDYRBRN4,KDYRBRN5,KDYRBRN6,KDYRBRN7,KDYRBRN8,KDYRBRN9,ATTENDPA,ATTENDMA,EDUC,PAEDUC,MAEDUC,SEI,PASEI,MASEI,INTRHOME
51524,2008,1.31000000000000005e+00,1,71,1,1,1,4,1,10, 0,  0,3,10, 0,  0,3,0, 0,  0, ,0,4,    0,0, 0,  0, ,0,4,    0,10, 0,  0, ,3,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 5, 5,18,12,12,63.5,39.4,33.1,0
51525,2008,2.14000000000000012e+00,2,62,1,1,0,2,2, 2, 0,  0,2, 2, 0,  0,2,0, 0,  0, ,0,1,70000,0, 0,  0, ,0,2,    0, 2, 0,  0, ,2,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 8, 8,12,12,12,87.9,52.4,-1.0,1
51526,2008,8.80000000000000004e-01,2,42,1,1,0,1,2, 1,70,  0,2, 2, 0,  0,2,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 1,70,  0, ,2,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 0, 0,12,97,12,37.7,-1.0,37.9,1
51527,2008,1.31000000000000005e+00,2,20,1,1,0,0,0, 4, 0,  0,3, 1,60, 80,3,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 0, 0,13,97,98,-1.0,-1.0,-1.0,1
51528,2008,8.80000000000000004e-01,1,47,1,1,0,0,2, 1,70,  0,2, 1,70,  0,2,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 1,70,  0, ,2,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 0, 0,16,10,12,86.6,37.8,33.1,1
51529,2008,1.07000000000000006e+00,1,46,1,1,0,1,1, 4, 0,  0,3, 4, 0,  0,3,0, 0,  0, ,0,1,50000,0, 0,  0, ,0,2,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 1, 1,15,97,12,44.7,-1.0,35.4,1
51530,2008,8.80000000000000004e-01,1,46,1,1,0,1,2, 3, 0,  0,3, 3, 0,  0,3,3, 0,  0, ,0,0,    0,3, 0,  0, ,0,0,    0, 3, 0,  0, ,3,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 0, 0,16,13,16,63.5,50.7,50.7,1
51531,2008,1.75000000000000000e+00,1,31,3,2,8,2,1, 4, 0,  0,3, 4, 0,  0,3,0, 0,  0, ,0,7,    0,0, 0,  0, ,0,7,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 1, 1,14,97,12,33.9,-1.0,25.9,1
51532,2008,2.14000000000000012e+00,2,40,1,1,0,1,2,99,99,999,9,99,99,999,9,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0,99,99,999, ,9,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 0, 0,14,14,12,-1.0,37.3,-1.0,1
51533,2008,4.40000000000000002e-01,2,57,1,1,1,4,4, 2, 0,  0,2, 2, 0,  0,2,0, 0,  0, ,0,2,    0,0, 0,  0, ,0,7,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 1, 1, 9,97,12,36.5,29.3,29.3,2
51534,2008,4.40000000000000002e-01,2,57,1,1,0,3,2, 4, 0,  0,3, 2, 0,  0,2,0, 0,  0, ,0,1,38000,0, 0,  0, ,0,2,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 4, 8,16,14,10,80.3,38.0,38.4,1
51535,2008,1.07000000000000006e+00,2,38,1,2,8,4,1, 3, 0,  0,3, 3, 0,  0,3,3, 0,  0, ,0,3,    0,3, 0,  0, ,0,3,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0,98,98,18,16,14,64.2,80.3,-1.0,0
51536,2008,1.75000000000000000e+00,2,45,1,1,2,2,2, 1,22,  0,3, 1,22,  0,3,0, 0,  0, ,0,1,22000,0, 0,  0, ,0,1,22000, 1,22,  0, ,3,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 8, 6,14,13,12,38.5,38.4,80.3,1
